20180801 	123500 	124500 	122500 	123000 
20180802 	123000 	123500 	120000 	121000 
20180803 	122000 	122500 	121000 	122000 
20180806 	122000 	123000 	121500 	121500 
20180807 	122000 	126000 	122000 	125000 
20180808 	125500 	127500 	124000 	126000 
20180809 	126500 	127000 	125000 	125500 
20180810 	125000 	126000 	122500 	125500 
20180813 	125500 	126500 	122500 	124000 
20180814 	124000 	124000 	122500 	123500 
20180816 	122000 	122500 	120000 	121500 
20180817 	122000 	122500 	121000 	122000 
20180820 	122500 	124000 	121500 	122000 
20180821 	122000 	123000 	121000 	122000 
20180822 	122000 	123500 	121500 	123500 
20180823 	124000 	124000 	122500 	123500 
20180824 	123000 	123500 	122000 	123500 
20180827 	123000 	123000 	121500 	122000 
20180828 	122000 	123000 	121500 	122000 
20180829 	122000 	122000 	121000 	121500 
20180830 	121500 	121500 	119500 	120500 
20180831 	120500 	123000 	120500 	123000 
20180903 	122500 	123500 	122000 	123500 
20180904 	123000 	126000 	123000 	125000 
20180905 	125500 	126500 	124500 	125000 
20180906 	125000 	127000 	125000 	126500 
20180907 	126500 	126500 	124000 	125000 
20180910 	124000 	126000 	124000 	125500 
20180911 	125500 	126500 	125000 	126000 
20180912 	126500 	127000 	124500 	125000 
20180913 	126000 	126000 	124000 	124000 
20180914 	124000 	126500 	124000 	125500 
20180917 	125500 	127500 	125000 	125500 
20180918 	125000 	127000 	124500 	126000 
20180919 	126000 	127000 	123500 	123500 
20180920 	123500 	128500 	123000 	128500 
20180921 	125500 	132500 	125500 	131000 
20180927 	131500 	132000 	129500 	131000 
20180928 	130500 	131000 	129000 	129500 
20181001 	129000 	130000 	126000 	128000 
20181002 	127500 	128000 	125500 	126000 
20181004 	126500 	128000 	124000 	124500 
20181005 	124000 	125500 	122500 	125000 
20181008 	125000 	126000 	123500 	124000 
20181010 	125000 	126000 	122500 	123000 
20181011 	119000 	120000 	115000 	115000 
20181012 	115000 	118500 	114000 	117000 
20181015 	117000 	117500 	115000 	115500 
20181016 	116000 	117500 	116000 	116000 
20181017 	118000 	118500 	115000 	116500 
20181018 	117000 	117500 	116000 	116500 
20181019 	115500 	117000 	115000 	117000 
20181022 	116500 	117000 	115500 	116500 
20181023 	115500 	116000 	111500 	112500 
20181024 	113000 	114000 	112000 	113000 
20181025 	109500 	111500 	107000 	109500 
20181026 	110000 	110500 	105000 	106500 
20181029 	105500 	108500 	105000 	105500 
